subid,condition,trial_num_full,m_correct,m_gaze_follow,rt,shift_start,shift_end,shift_correct,shift_type
020916_01,no-gaze,8_exposure,0.37962962962962965,0,0.26666666666666666,right,left,FALSE,target_distracter
020916_01,no-gaze,8_test,0.6666666666666666,0,0.36666666666666664,left,right,FALSE,image_away
020916_02,gaze,1_exposure,0.32432432432432434,0.28378378378378377,0.36666666666666664,left,right,FALSE,image_away
020916_02,gaze,1_test,0.3723404255319149,0,0.3,right,left,TRUE,distracter_target
020916_02,gaze,10_exposure,0.38095238095238093,0.38095238095238093,0.5,left,right,TRUE,image_away
020916_02,gaze,10_test,1,0,NA,left,NA,NA,no_shift
020916_02,gaze,12_exposure,0.20175438596491227,0.7280701754385965,0.36666666666666664,left,right,FALSE,image_away
020916_02,gaze,12_test,0.06593406593406594,0,0.23333333333333334,face,left,FALSE,face_distracter
020916_02,gaze,13_exposure,0.2391304347826087,0.717391304347826,0.23333333333333334,right,left,TRUE,distracter_target
020916_02,gaze,13_test,0.6666666666666666,0,0.4,left,face,FALSE,image_away
020916_02,gaze,15_exposure,0.8202247191011236,0.8202247191011236,0.3333333333333333,left,right,FALSE,image_away
020916_02,gaze,15_test,0.944954128440367,0,1.7,left,right,FALSE,image_away
020916_02,gaze,16_exposure,0.7592592592592593,0.1111111111111111,0.43333333333333335,left,right,FALSE,image_away
020916_02,gaze,16_test,0.86,0,0.5333333333333333,left,face,FALSE,image_away
020916_02,gaze,2_exposure,0.22,0.64,0.5,left,right,TRUE,image_away
020916_02,gaze,2_test,0.5,0,0.23333333333333334,face,left,FALSE,face_distracter
020916_02,gaze,3_exposure,0.7019230769230769,0.7019230769230769,0.3333333333333333,right,face,FALSE,image_face
020916_02,gaze,3_test,0.7706422018348624,0,0.5666666666666667,left,face,FALSE,image_away
020916_02,gaze,5_exposure,0,0.8157894736842105,0.8666666666666667,face,left,FALSE,face_distracter
020916_02,gaze,5_test,0.46788990825688076,0,0.3333333333333333,left,right,FALSE,image_away
020916_02,gaze,7_exposure,0.30851063829787234,0.6276595744680851,0.5333333333333333,left,right,FALSE,image_away
020916_02,gaze,7_test,0.5478260869565217,0,0.16666666666666666,face,left,FALSE,face_distracter
020916_02,gaze,8_exposure,0.5294117647058824,0.5294117647058824,0.6333333333333333,left,right,TRUE,image_away
020916_02,gaze,8_test,0.7948717948717948,0,2.933333333333333,right,left,FALSE,target_distracter
020916_02,gaze,9_exposure,0.3763440860215054,0.3763440860215054,0.5,face,left,FALSE,face_distracter
020916_02,gaze,9_test,0.684931506849315,0,2.533333333333333,left,face,FALSE,image_away
020916_03,no-gaze,1_exposure,0.5126050420168067,0,0.13333333333333333,right,left,TRUE,distracter_target
020916_03,no-gaze,1_test,0.8034188034188035,0,0.3,left,right,FALSE,image_away
020916_03,no-gaze,10_exposure,0.39285714285714285,0,0.3,left,right,TRUE,image_away
020916_03,no-gaze,10_test,0.896551724137931,0,0.5,left,face,FALSE,image_away
020916_03,no-gaze,11_exposure,0.3867924528301887,0,0.1,right,left,TRUE,distracter_target
020916_03,no-gaze,11_test,0.9181818181818182,0,0.4666666666666667,left,right,TRUE,image_away
020916_03,no-gaze,14_exposure,0.36363636363636365,0,0.36666666666666664,left,right,FALSE,image_away
020916_03,no-gaze,14_test,0.3177570093457944,0,0.26666666666666666,left,right,FALSE,image_away
020916_03,no-gaze,15_exposure,0.4778761061946903,0,0.4,left,right,FALSE,image_away
020916_03,no-gaze,15_test,0.625,0,0.3,left,right,FALSE,image_away
020916_03,no-gaze,16_exposure,0.29523809523809524,0,0.3,left,right,TRUE,image_away
020916_03,no-gaze,16_test,0.923728813559322,0,0.6,left,right,FALSE,image_away
020916_03,no-gaze,2_exposure,0.41739130434782606,0,0.13333333333333333,left,face,FALSE,image_away
020916_03,no-gaze,2_test,0.5045871559633027,0,0.6333333333333333,left,right,FALSE,image_away
